Dataset,Method,N,TP,FP,TN,FN,Precision,Recall,F1,AUC
Semantic-KG Combined (SNEA-α=0.2),sentence-t5-base,400,168,68,132,32,0.711,0.839,0.77,0.827
Semantic-KG Combined (SNEA-α=0.3),SNEA-BERT α=0.3 (Our Method),400,174,46,154,26,0.791,0.868,0.828,0.83
Semantic-KG Combined (SNEA-α=0.3),ROUGE-1,400,185,121,79,15,0.605,0.927,0.732,0.728
Semantic-KG Combined (SNEA-α=0.3),ROUGE-2,400,170,110,90,30,0.606,0.849,0.707,0.711
Semantic-KG Combined (SNEA-α=0.3),ROUGE-L,400,191,138,62,9,0.58,0.956,0.722,0.717
Semantic-KG Combined (SNEA-α=0.3),BLEU,400,187,136,64,13,0.578,0.937,0.715,0.708
Semantic-KG Combined (SNEA-α=0.3),BERTScore,400,190,112,88,10,0.629,0.951,0.757,0.792
Semantic-KG Combined (SNEA-α=0.3),all-MiniLM-L6-v2,400,199,118,82,1,0.628,0.995,0.77,0.789
Semantic-KG Combined (SNEA-α=0.3),sentence-t5-base,400,168,68,132,32,0.711,0.839,0.77,0.827
Semantic-KG Combined (SNEA-α=0.4),SNEA-BERT α=0.4 (Our Method),400,173,42,158,27,0.805,0.863,0.833,0.829
Semantic-KG Combined (SNEA-α=0.4),ROUGE-1,400,185,121,79,15,0.605,0.927,0.732,0.728
Semantic-KG Combined (SNEA-α=0.4),ROUGE-2,400,170,110,90,30,0.606,0.849,0.707,0.711
Semantic-KG Combined (SNEA-α=0.4),ROUGE-L,400,191,138,62,9,0.58,0.956,0.722,0.717
Semantic-KG Combined (SNEA-α=0.4),BLEU,400,187,136,64,13,0.578,0.937,0.715,0.708
Semantic-KG Combined (SNEA-α=0.4),BERTScore,400,190,112,88,10,0.629,0.951,0.757,0.792
Semantic-KG Combined (SNEA-α=0.4),all-MiniLM-L6-v2,400,199,118,82,1,0.628,0.995,0.77,0.789
Semantic-KG Combined (SNEA-α=0.4),sentence-t5-base,400,168,68,132,32,0.711,0.839,0.77,0.827
Semantic-KG Combined (SNEA-α=0.5),SNEA-BERT α=0.5 (Our Method),400,174,43,157,26,0.802,0.868,0.834,0.829
Semantic-KG Combined (SNEA-α=0.5),ROUGE-1,400,185,121,79,15,0.605,0.927,0.732,0.728
Semantic-KG Combined (SNEA-α=0.5),ROUGE-2,400,170,110,90,30,0.606,0.849,0.707,0.711
Semantic-KG Combined (SNEA-α=0.5),ROUGE-L,400,191,138,62,9,0.58,0.956,0.722,0.717
Semantic-KG Combined (SNEA-α=0.5),BLEU,400,187,136,64,13,0.578,0.937,0.715,0.708
Semantic-KG Combined (SNEA-α=0.5),BERTScore,400,190,112,88,10,0.629,0.951,0.757,0.792
Semantic-KG Combined (SNEA-α=0.5),all-MiniLM-L6-v2,400,199,118,82,1,0.628,0.995,0.77,0.789
Semantic-KG Combined (SNEA-α=0.5),sentence-t5-base,400,168,68,132,32,0.711,0.839,0.77,0.827
Semantic-KG Combined (SNEA-α=0.6),SNEA-BERT α=0.6 (Our Method),400,174,44,156,26,0.798,0.868,0.832,0.828
Semantic-KG Combined (SNEA-α=0.6),ROUGE-1,400,185,121,79,15,0.605,0.927,0.732,0.728
Semantic-KG Combined (SNEA-α=0.6),ROUGE-2,400,170,110,90,30,0.606,0.849,0.707,0.711
Semantic-KG Combined (SNEA-α=0.6),ROUGE-L,400,191,138,62,9,0.58,0.956,0.722,0.717
Semantic-KG Combined (SNEA-α=0.6),BLEU,400,187,136,64,13,0.578,0.937,0.715,0.708
Semantic-KG Combined (SNEA-α=0.6),BERTScore,400,190,112,88,10,0.629,0.951,0.757,0.792
Semantic-KG Combined (SNEA-α=0.6),all-MiniLM-L6-v2,400,199,118,82,1,0.628,0.995,0.77,0.789
Semantic-KG Combined (SNEA-α=0.6),sentence-t5-base,400,168,68,132,32,0.711,0.839,0.77,0.827
Semantic-KG Combined (SNEA-α=0.7),SNEA-BERT α=0.7 (Our Method),400,173,42,158,27,0.805,0.863,0.833,0.828
Semantic-KG Combined (SNEA-α=0.7),ROUGE-1,400,185,121,79,15,0.605,0.927,0.732,0.728
Semantic-KG Combined (SNEA-α=0.7),ROUGE-2,400,170,110,90,30,0.606,0.849,0.707,0.711
Semantic-KG Combined (SNEA-α=0.7),ROUGE-L,400,191,138,62,9,0.58,0.956,0.722,0.717
Semantic-KG Combined (SNEA-α=0.7),BLEU,400,187,136,64,13,0.578,0.937,0.715,0.708
Semantic-KG Combined (SNEA-α=0.7),BERTScore,400,190,112,88,10,0.629,0.951,0.757,0.792
Semantic-KG Combined (SNEA-α=0.7),all-MiniLM-L6-v2,400,199,118,82,1,0.628,0.995,0.77,0.789
Semantic-KG Combined (SNEA-α=0.7),sentence-t5-base,400,168,68,132,32,0.711,0.839,0.77,0.827
Semantic-KG Combined (SNEA-α=0.8),SNEA-BERT α=0.8 (Our Method),400,174,44,156,26,0.798,0.868,0.832,0.828
Semantic-KG Combined (SNEA-α=0.8),ROUGE-1,400,185,121,79,15,0.605,0.927,0.732,0.728
Semantic-KG Combined (SNEA-α=0.8),ROUGE-2,400,170,110,90,30,0.606,0.849,0.707,0.711
Semantic-KG Combined (SNEA-α=0.8),ROUGE-L,400,191,138,62,9,0.58,0.956,0.722,0.717
Semantic-KG Combined (SNEA-α=0.8),BLEU,400,187,136,64,13,0.578,0.937,0.715,0.708
Semantic-KG Combined (SNEA-α=0.8),BERTScore,400,190,112,88,10,0.629,0.951,0.757,0.792
Semantic-KG Combined (SNEA-α=0.8),all-MiniLM-L6-v2,400,199,118,82,1,0.628,0.995,0.77,0.789
Semantic-KG Combined (SNEA-α=0.8),sentence-t5-base,400,168,68,132,32,0.711,0.839,0.77,0.827
Semantic-KG Combined (SNEA-α=0.9),SNEA-BERT α=0.9 (Our Method),400,174,46,154,26,0.791,0.868,0.828,0.827
Semantic-KG Combined (SNEA-α=0.9),ROUGE-1,400,185,121,79,15,0.605,0.927,0.732,0.728
Semantic-KG Combined (SNEA-α=0.9),ROUGE-2,400,170,110,90,30,0.606,0.849,0.707,0.711
Semantic-KG Combined (SNEA-α=0.9),ROUGE-L,400,191,138,62,9,0.58,0.956,0.722,0.717
Semantic-KG Combined (SNEA-α=0.9),BLEU,400,187,136,64,13,0.578,0.937,0.715,0.708
Semantic-KG Combined (SNEA-α=0.9),BERTScore,400,190,112,88,10,0.629,0.951,0.757,0.792
Semantic-KG Combined (SNEA-α=0.9),all-MiniLM-L6-v2,400,199,118,82,1,0.628,0.995,0.77,0.789
Semantic-KG Combined (SNEA-α=0.9),sentence-t5-base,400,168,68,132,32,0.711,0.839,0.77,0.827
Semantic-KG Combined (SNEA-α=1.0),SNEA-BERT α=1.0 (Our Method),400,174,46,154,26,0.791,0.868,0.828,0.799
Semantic-KG Combined (SNEA-α=1.0),ROUGE-1,400,185,121,79,15,0.605,0.927,0.732,0.728
Semantic-KG Combined (SNEA-α=1.0),ROUGE-2,400,170,110,90,30,0.606,0.849,0.707,0.711
Semantic-KG Combined (SNEA-α=1.0),ROUGE-L,400,191,138,62,9,0.58,0.956,0.722,0.717
Semantic-KG Combined (SNEA-α=1.0),BLEU,400,187,136,64,13,0.578,0.937,0.715,0.708
Semantic-KG Combined (SNEA-α=1.0),BERTScore,400,190,112,88,10,0.629,0.951,0.757,0.792
Semantic-KG Combined (SNEA-α=1.0),all-MiniLM-L6-v2,400,199,118,82,1,0.628,0.995,0.77,0.789
Semantic-KG Combined (SNEA-α=1.0),sentence-t5-base,400,168,68,132,32,0.711,0.839,0.77,0.827
Semantic-KG Codex 400 (SNEA-α=0.0),SNEA-BERT α=0.0 (Our Method),400,192,49,151,8,0.797,0.96,0.871,0.969
Semantic-KG Codex 400 (SNEA-α=0.0),ROUGE-1,400,177,47,153,23,0.79,0.885,0.835,0.917
Semantic-KG Codex 400 (SNEA-α=0.0),ROUGE-2,400,175,51,149,25,0.774,0.875,0.822,0.894
Semantic-KG Codex 400 (SNEA-α=0.0),ROUGE-L,400,187,85,115,13,0.688,0.935,0.792,0.855
Semantic-KG Codex 400 (SNEA-α=0.0),BLEU,400,162,40,160,38,0.802,0.81,0.806,0.884
Semantic-KG Codex 400 (SNEA-α=0.0),BERTScore,400,191,73,127,9,0.723,0.955,0.823,0.916
Semantic-KG Codex 400 (SNEA-α=0.0),all-MiniLM-L6-v2,400,179,30,170,21,0.856,0.895,0.875,0.943
Semantic-KG Codex 400 (SNEA-α=0.0),sentence-t5-base,400,183,35,165,17,0.839,0.915,0.876,0.944
Semantic-KG Codex 400 (SNEA-α=0.1),SNEA-BERT α=0.1 (Our Method),400,188,20,180,12,0.904,0.94,0.922,0.973
Semantic-KG Codex 400 (SNEA-α=0.1),ROUGE-1,400,177,47,153,23,0.79,0.885,0.835,0.917
Semantic-KG Codex 400 (SNEA-α=0.1),ROUGE-2,400,175,51,149,25,0.774,0.875,0.822,0.894
Semantic-KG Codex 400 (SNEA-α=0.1),ROUGE-L,400,187,85,115,13,0.688,0.935,0.792,0.855
Semantic-KG Codex 400 (SNEA-α=0.1),BLEU,400,162,40,160,38,0.802,0.81,0.806,0.884
Semantic-KG Codex 400 (SNEA-α=0.1),BERTScore,400,191,73,127,9,0.723,0.955,0.823,0.916
Semantic-KG Codex 400 (SNEA-α=0.1),all-MiniLM-L6-v2,400,179,30,170,21,0.856,0.895,0.875,0.943
Semantic-KG Codex 400 (SNEA-α=0.1),sentence-t5-base,400,183,35,165,17,0.839,0.915,0.876,0.944
Semantic-KG Codex 400 (SNEA-α=0.2),SNEA-BERT α=0.2 (Our Method),400,190,20,180,10,0.905,0.95,0.927,0.973
Semantic-KG Codex 400 (SNEA-α=0.2),ROUGE-1,400,177,47,153,23,0.79,0.885,0.835,0.917
Semantic-KG Codex 400 (SNEA-α=0.2),ROUGE-2,400,175,51,149,25,0.774,0.875,0.822,0.894
Semantic-KG Codex 400 (SNEA-α=0.2),ROUGE-L,400,187,85,115,13,0.688,0.935,0.792,0.855
Semantic-KG Codex 400 (SNEA-α=0.2),BLEU,400,162,40,160,38,0.802,0.81,0.806,0.884
Semantic-KG Codex 400 (SNEA-α=0.2),BERTScore,400,191,73,127,9,0.723,0.955,0.823,0.916
Semantic-KG Codex 400 (SNEA-α=0.2),all-MiniLM-L6-v2,400,179,30,170,21,0.856,0.895,0.875,0.943
Semantic-KG Codex 400 (SNEA-α=0.2),sentence-t5-base,400,183,35,165,17,0.839,0.915,0.876,0.944
Semantic-KG Codex 400 (SNEA-α=0.4),SNEA-BERT α=0.4 (Our Method),400,191,20,180,9,0.905,0.955,0.929,0.973
Semantic-KG Codex 400 (SNEA-α=0.4),ROUGE-1,400,177,47,153,23,0.79,0.885,0.835,0.917
Semantic-KG Codex 400 (SNEA-α=0.4),ROUGE-2,400,175,51,149,25,0.774,0.875,0.822,0.894
Semantic-KG Codex 400 (SNEA-α=0.4),ROUGE-L,400,187,85,115,13,0.688,0.935,0.792,0.855
Semantic-KG Codex 400 (SNEA-α=0.4),BLEU,400,162,40,160,38,0.802,0.81,0.806,0.884
Semantic-KG Codex 400 (SNEA-α=0.4),BERTScore,400,191,73,127,9,0.723,0.955,0.823,0.916
Semantic-KG Codex 400 (SNEA-α=0.4),all-MiniLM-L6-v2,400,179,30,170,21,0.856,0.895,0.875,0.943
Semantic-KG Codex 400 (SNEA-α=0.4),sentence-t5-base,400,183,35,165,17,0.839,0.915,0.876,0.944
Semantic-KG Codex 400 (SNEA-α=0.5),SNEA-BERT α=0.5 (Our Method),400,192,20,180,8,0.906,0.96,0.932,0.973
Semantic-KG Codex 400 (SNEA-α=0.5),ROUGE-1,400,177,47,153,23,0.79,0.885,0.835,0.917
Semantic-KG Codex 400 (SNEA-α=0.5),ROUGE-2,400,175,51,149,25,0.774,0.875,0.822,0.894
Semantic-KG Codex 400 (SNEA-α=0.5),ROUGE-L,400,187,85,115,13,0.688,0.935,0.792,0.855
Semantic-KG Codex 400 (SNEA-α=0.5),BLEU,400,162,40,160,38,0.802,0.81,0.806,0.884
Semantic-KG Codex 400 (SNEA-α=0.5),BERTScore,400,191,73,127,9,0.723,0.955,0.823,0.916
Semantic-KG Codex 400 (SNEA-α=0.5),all-MiniLM-L6-v2,400,179,30,170,21,0.856,0.895,0.875,0.943
Semantic-KG Codex 400 (SNEA-α=0.5),sentence-t5-base,400,183,35,165,17,0.839,0.915,0.876,0.944
Semantic-KG Codex 400 (SNEA-α=0.6),SNEA-BERT α=0.6 (Our Method),400,192,20,180,8,0.906,0.96,0.932,0.973
Semantic-KG Codex 400 (SNEA-α=0.6),ROUGE-1,400,177,47,153,23,0.79,0.885,0.835,0.917
Semantic-KG Codex 400 (SNEA-α=0.6),ROUGE-2,400,175,51,149,25,0.774,0.875,0.822,0.894
Semantic-KG Codex 400 (SNEA-α=0.6),ROUGE-L,400,187,85,115,13,0.688,0.935,0.792,0.855
Semantic-KG Codex 400 (SNEA-α=0.6),BLEU,400,162,40,160,38,0.802,0.81,0.806,0.884
Semantic-KG Codex 400 (SNEA-α=0.6),BERTScore,400,191,73,127,9,0.723,0.955,0.823,0.916
Semantic-KG Codex 400 (SNEA-α=0.6),all-MiniLM-L6-v2,400,179,30,170,21,0.856,0.895,0.875,0.943
Semantic-KG Codex 400 (SNEA-α=0.6),sentence-t5-base,400,183,35,165,17,0.839,0.915,0.876,0.944
Semantic-KG Codex 400 (SNEA-α=0.7),SNEA-BERT α=0.7 (Our Method),400,192,20,180,8,0.906,0.96,0.932,0.973
Semantic-KG Codex 400 (SNEA-α=0.7),ROUGE-1,400,177,47,153,23,0.79,0.885,0.835,0.917
Semantic-KG Codex 400 (SNEA-α=0.7),ROUGE-2,400,175,51,149,25,0.774,0.875,0.822,0.894
Semantic-KG Codex 400 (SNEA-α=0.7),ROUGE-L,400,187,85,115,13,0.688,0.935,0.792,0.855
Semantic-KG Codex 400 (SNEA-α=0.7),BLEU,400,162,40,160,38,0.802,0.81,0.806,0.884
Semantic-KG Codex 400 (SNEA-α=0.7),BERTScore,400,191,73,127,9,0.723,0.955,0.823,0.916
Semantic-KG Codex 400 (SNEA-α=0.7),all-MiniLM-L6-v2,400,179,30,170,21,0.856,0.895,0.875,0.943
Semantic-KG Codex 400 (SNEA-α=0.7),sentence-t5-base,400,183,35,165,17,0.839,0.915,0.876,0.944
Semantic-KG Codex 400 (SNEA-α=0.8),SNEA-BERT α=0.8 (Our Method),400,192,20,180,8,0.906,0.96,0.932,0.973
Semantic-KG Codex 400 (SNEA-α=0.8),ROUGE-1,400,177,47,153,23,0.79,0.885,0.835,0.917
Semantic-KG Codex 400 (SNEA-α=0.8),ROUGE-2,400,175,51,149,25,0.774,0.875,0.822,0.894
Semantic-KG Codex 400 (SNEA-α=0.8),ROUGE-L,400,187,85,115,13,0.688,0.935,0.792,0.855
Semantic-KG Codex 400 (SNEA-α=0.8),BLEU,400,162,40,160,38,0.802,0.81,0.806,0.884
Semantic-KG Codex 400 (SNEA-α=0.8),BERTScore,400,191,73,127,9,0.723,0.955,0.823,0.916
Semantic-KG Codex 400 (SNEA-α=0.8),all-MiniLM-L6-v2,400,179,30,170,21,0.856,0.895,0.875,0.943
Semantic-KG Codex 400 (SNEA-α=0.8),sentence-t5-base,400,183,35,165,17,0.839,0.915,0.876,0.944
Semantic-KG Codex 400 (SNEA-α=0.9),SNEA-BERT α=0.9 (Our Method),400,192,20,180,8,0.906,0.96,0.932,0.973
Semantic-KG Codex 400 (SNEA-α=0.9),ROUGE-1,400,177,47,153,23,0.79,0.885,0.835,0.917
Semantic-KG Codex 400 (SNEA-α=0.9),ROUGE-2,400,175,51,149,25,0.774,0.875,0.822,0.894
Semantic-KG Codex 400 (SNEA-α=0.9),ROUGE-L,400,187,85,115,13,0.688,0.935,0.792,0.855
Semantic-KG Codex 400 (SNEA-α=0.9),BLEU,400,162,40,160,38,0.802,0.81,0.806,0.884
Semantic-KG Codex 400 (SNEA-α=0.9),BERTScore,400,191,73,127,9,0.723,0.955,0.823,0.916
Semantic-KG Codex 400 (SNEA-α=0.9),all-MiniLM-L6-v2,400,179,30,170,21,0.856,0.895,0.875,0.943
Semantic-KG Codex 400 (SNEA-α=0.9),sentence-t5-base,400,183,35,165,17,0.839,0.915,0.876,0.944
Semantic-KG Codex 400 (SNEA-α=1.0),SNEA-BERT α=1.0 (Our Method),400,192,20,180,8,0.906,0.96,0.932,0.932
Semantic-KG Codex 400 (SNEA-α=1.0),ROUGE-1,400,177,47,153,23,0.79,0.885,0.835,0.917
Semantic-KG Codex 400 (SNEA-α=1.0),ROUGE-2,400,175,51,149,25,0.774,0.875,0.822,0.894
Semantic-KG Codex 400 (SNEA-α=1.0),ROUGE-L,400,187,85,115,13,0.688,0.935,0.792,0.855
Semantic-KG Codex 400 (SNEA-α=1.0),BLEU,400,162,40,160,38,0.802,0.81,0.806,0.884
Semantic-KG Codex 400 (SNEA-α=1.0),BERTScore,400,191,73,127,9,0.723,0.955,0.823,0.916
Semantic-KG Codex 400 (SNEA-α=1.0),all-MiniLM-L6-v2,400,179,30,170,21,0.856,0.895,0.875,0.943
Semantic-KG Codex 400 (SNEA-α=1.0),sentence-t5-base,400,183,35,165,17,0.839,0.915,0.876,0.944
Semantic-KG FindKG (SNEA-α=0.0),SNEA-BERT α=0.0 (Our Method),400,179,88,112,21,0.67,0.895,0.767,0.796
Semantic-KG FindKG (SNEA-α=0.0),ROUGE-1,400,187,115,85,13,0.619,0.935,0.745,0.745
Semantic-KG FindKG (SNEA-α=0.0),ROUGE-2,400,167,99,101,33,0.628,0.835,0.717,0.706
Semantic-KG FindKG (SNEA-α=0.0),ROUGE-L,400,170,103,97,30,0.623,0.85,0.719,0.721
Semantic-KG FindKG (SNEA-α=0.0),BLEU,400,170,108,92,30,0.612,0.85,0.711,0.71
Semantic-KG FindKG (SNEA-α=0.0),BERTScore,400,184,114,86,16,0.617,0.92,0.739,0.761
Semantic-KG FindKG (SNEA-α=0.0),all-MiniLM-L6-v2,400,193,88,112,7,0.687,0.965,0.802,0.844
Semantic-KG FindKG (SNEA-α=0.0),sentence-t5-base,400,195,65,135,5,0.75,0.975,0.848,0.902
Semantic-KG FindKG (SNEA-α=0.1),SNEA-BERT α=0.1 (Our Method),400,177,89,111,23,0.665,0.885,0.76,0.798
Semantic-KG FindKG (SNEA-α=0.1),ROUGE-1,400,187,115,85,13,0.619,0.935,0.745,0.745
Semantic-KG FindKG (SNEA-α=0.1),ROUGE-2,400,167,99,101,33,0.628,0.835,0.717,0.706
Semantic-KG FindKG (SNEA-α=0.1),ROUGE-L,400,170,103,97,30,0.623,0.85,0.719,0.721
Semantic-KG FindKG (SNEA-α=0.1),BLEU,400,170,108,92,30,0.612,0.85,0.711,0.71
Semantic-KG FindKG (SNEA-α=0.1),BERTScore,400,184,114,86,16,0.617,0.92,0.739,0.761
Semantic-KG FindKG (SNEA-α=0.1),all-MiniLM-L6-v2,400,193,88,112,7,0.687,0.965,0.802,0.844
Semantic-KG FindKG (SNEA-α=0.1),sentence-t5-base,400,195,65,135,5,0.75,0.975,0.848,0.902
Semantic-KG FindKG (SNEA-α=0.2),SNEA-BERT α=0.2 (Our Method),400,179,91,109,21,0.663,0.895,0.762,0.793
Semantic-KG FindKG (SNEA-α=0.2),ROUGE-1,400,187,115,85,13,0.619,0.935,0.745,0.745
Semantic-KG FindKG (SNEA-α=0.2),ROUGE-2,400,167,99,101,33,0.628,0.835,0.717,0.706
Semantic-KG FindKG (SNEA-α=0.2),ROUGE-L,400,170,103,97,30,0.623,0.85,0.719,0.721
Semantic-KG FindKG (SNEA-α=0.2),BLEU,400,170,108,92,30,0.612,0.85,0.711,0.71
Semantic-KG FindKG (SNEA-α=0.2),BERTScore,400,184,114,86,16,0.617,0.92,0.739,0.761
Semantic-KG FindKG (SNEA-α=0.2),all-MiniLM-L6-v2,400,193,88,112,7,0.687,0.965,0.802,0.844
Semantic-KG FindKG (SNEA-α=0.2),sentence-t5-base,400,195,65,135,5,0.75,0.975,0.848,0.902
Semantic-KG FindKG (SNEA-α=0.4),SNEA-BERT α=0.4 (Our Method),400,173,92,108,27,0.653,0.865,0.744,0.783
Semantic-KG FindKG (SNEA-α=0.4),ROUGE-1,400,187,115,85,13,0.619,0.935,0.745,0.745
Semantic-KG FindKG (SNEA-α=0.4),ROUGE-2,400,167,99,101,33,0.628,0.835,0.717,0.706
Semantic-KG FindKG (SNEA-α=0.4),ROUGE-L,400,170,103,97,30,0.623,0.85,0.719,0.721
Semantic-KG FindKG (SNEA-α=0.4),BLEU,400,170,108,92,30,0.612,0.85,0.711,0.71
Semantic-KG FindKG (SNEA-α=0.4),BERTScore,400,184,114,86,16,0.617,0.92,0.739,0.761
Semantic-KG FindKG (SNEA-α=0.4),all-MiniLM-L6-v2,400,193,88,112,7,0.687,0.965,0.802,0.844
Semantic-KG FindKG (SNEA-α=0.4),sentence-t5-base,400,195,65,135,5,0.75,0.975,0.848,0.902
Semantic-KG FindKG (SNEA-α=0.5),SNEA-BERT α=0.5 (Our Method),400,179,104,96,21,0.633,0.895,0.741,0.779
Semantic-KG FindKG (SNEA-α=0.5),ROUGE-1,400,187,115,85,13,0.619,0.935,0.745,0.745
Semantic-KG FindKG (SNEA-α=0.5),ROUGE-2,400,167,99,101,33,0.628,0.835,0.717,0.706
Semantic-KG FindKG (SNEA-α=0.5),ROUGE-L,400,170,103,97,30,0.623,0.85,0.719,0.721
Semantic-KG FindKG (SNEA-α=0.5),BLEU,400,170,108,92,30,0.612,0.85,0.711,0.71
Semantic-KG FindKG (SNEA-α=0.5),BERTScore,400,184,114,86,16,0.617,0.92,0.739,0.761
Semantic-KG FindKG (SNEA-α=0.5),all-MiniLM-L6-v2,400,193,88,112,7,0.687,0.965,0.802,0.844
Semantic-KG FindKG (SNEA-α=0.5),sentence-t5-base,400,195,65,135,5,0.75,0.975,0.848,0.902
Semantic-KG FindKG (SNEA-α=0.6),SNEA-BERT α=0.6 (Our Method),400,170,92,108,30,0.649,0.85,0.736,0.776
Semantic-KG FindKG (SNEA-α=0.6),ROUGE-1,400,187,115,85,13,0.619,0.935,0.745,0.745
Semantic-KG FindKG (SNEA-α=0.6),ROUGE-2,400,167,99,101,33,0.628,0.835,0.717,0.706
Semantic-KG FindKG (SNEA-α=0.6),ROUGE-L,400,170,103,97,30,0.623,0.85,0.719,0.721
Semantic-KG FindKG (SNEA-α=0.6),BLEU,400,170,108,92,30,0.612,0.85,0.711,0.71
Semantic-KG FindKG (SNEA-α=0.6),BERTScore,400,184,114,86,16,0.617,0.92,0.739,0.761
Semantic-KG FindKG (SNEA-α=0.6),all-MiniLM-L6-v2,400,193,88,112,7,0.687,0.965,0.802,0.844
Semantic-KG FindKG (SNEA-α=0.6),sentence-t5-base,400,195,65,135,5,0.75,0.975,0.848,0.902
Semantic-KG FindKG (SNEA-α=0.7),SNEA-BERT α=0.7 (Our Method),400,170,93,107,30,0.646,0.85,0.734,0.772
Semantic-KG FindKG (SNEA-α=0.7),ROUGE-1,400,187,115,85,13,0.619,0.935,0.745,0.745
Semantic-KG FindKG (SNEA-α=0.7),ROUGE-2,400,167,99,101,33,0.628,0.835,0.717,0.706
Semantic-KG FindKG (SNEA-α=0.7),ROUGE-L,400,170,103,97,30,0.623,0.85,0.719,0.721
Semantic-KG FindKG (SNEA-α=0.7),BLEU,400,170,108,92,30,0.612,0.85,0.711,0.71
Semantic-KG FindKG (SNEA-α=0.7),BERTScore,400,184,114,86,16,0.617,0.92,0.739,0.761
Semantic-KG FindKG (SNEA-α=0.7),all-MiniLM-L6-v2,400,193,88,112,7,0.687,0.965,0.802,0.844
Semantic-KG FindKG (SNEA-α=0.7),sentence-t5-base,400,195,65,135,5,0.75,0.975,0.848,0.902
Semantic-KG FindKG (SNEA-α=0.8),SNEA-BERT α=0.8 (Our Method),400,155,69,131,45,0.692,0.775,0.731,0.769
Semantic-KG FindKG (SNEA-α=0.8),ROUGE-1,400,187,115,85,13,0.619,0.935,0.745,0.745
Semantic-KG FindKG (SNEA-α=0.8),ROUGE-2,400,167,99,101,33,0.628,0.835,0.717,0.706
Semantic-KG FindKG (SNEA-α=0.8),ROUGE-L,400,170,103,97,30,0.623,0.85,0.719,0.721
Semantic-KG FindKG (SNEA-α=0.8),BLEU,400,170,108,92,30,0.612,0.85,0.711,0.71
Semantic-KG FindKG (SNEA-α=0.8),BERTScore,400,184,114,86,16,0.617,0.92,0.739,0.761
Semantic-KG FindKG (SNEA-α=0.8),all-MiniLM-L6-v2,400,193,88,112,7,0.687,0.965,0.802,0.844
Semantic-KG FindKG (SNEA-α=0.8),sentence-t5-base,400,195,65,135,5,0.75,0.975,0.848,0.902
Semantic-KG FindKG (SNEA-α=0.9),SNEA-BERT α=0.9 (Our Method),400,155,70,130,45,0.689,0.775,0.729,0.765
Semantic-KG FindKG (SNEA-α=0.9),ROUGE-1,400,187,115,85,13,0.619,0.935,0.745,0.745
Semantic-KG FindKG (SNEA-α=0.9),ROUGE-2,400,167,99,101,33,0.628,0.835,0.717,0.706
Semantic-KG FindKG (SNEA-α=0.9),ROUGE-L,400,170,103,97,30,0.623,0.85,0.719,0.721
Semantic-KG FindKG (SNEA-α=0.9),BLEU,400,170,108,92,30,0.612,0.85,0.711,0.71
Semantic-KG FindKG (SNEA-α=0.9),BERTScore,400,184,114,86,16,0.617,0.92,0.739,0.761
Semantic-KG FindKG (SNEA-α=0.9),all-MiniLM-L6-v2,400,193,88,112,7,0.687,0.965,0.802,0.844
Semantic-KG FindKG (SNEA-α=0.9),sentence-t5-base,400,195,65,135,5,0.75,0.975,0.848,0.902
Semantic-KG FindKG (SNEA-α=1.0),SNEA-BERT α=1.0 (Our Method),400,155,71,129,45,0.686,0.775,0.728,0.756
Semantic-KG FindKG (SNEA-α=1.0),ROUGE-1,400,187,115,85,13,0.619,0.935,0.745,0.745
Semantic-KG FindKG (SNEA-α=1.0),ROUGE-2,400,167,99,101,33,0.628,0.835,0.717,0.706
Semantic-KG FindKG (SNEA-α=1.0),ROUGE-L,400,170,103,97,30,0.623,0.85,0.719,0.721
Semantic-KG FindKG (SNEA-α=1.0),BLEU,400,170,108,92,30,0.612,0.85,0.711,0.71
Semantic-KG FindKG (SNEA-α=1.0),BERTScore,400,184,114,86,16,0.617,0.92,0.739,0.761
Semantic-KG FindKG (SNEA-α=1.0),all-MiniLM-L6-v2,400,193,88,112,7,0.687,0.965,0.802,0.844
Semantic-KG FindKG (SNEA-α=1.0),sentence-t5-base,400,195,65,135,5,0.75,0.975,0.848,0.902
Semantic-KG GloBI (SNEA-α=0.0),SNEA-BERT α=0.0 (Our Method),400,193,83,117,7,0.699,0.965,0.811,0.898
Semantic-KG GloBI (SNEA-α=0.0),ROUGE-1,400,192,98,102,8,0.662,0.96,0.784,0.833
Semantic-KG GloBI (SNEA-α=0.0),ROUGE-2,400,170,68,132,30,0.714,0.85,0.776,0.833
Semantic-KG GloBI (SNEA-α=0.0),ROUGE-L,400,188,105,95,12,0.642,0.94,0.763,0.8
Semantic-KG GloBI (SNEA-α=0.0),BLEU,400,189,99,101,11,0.656,0.945,0.775,0.819
Semantic-KG GloBI (SNEA-α=0.0),BERTScore,400,188,73,127,12,0.72,0.94,0.816,0.871
Semantic-KG GloBI (SNEA-α=0.0),all-MiniLM-L6-v2,400,190,97,103,10,0.662,0.95,0.78,0.817
Semantic-KG GloBI (SNEA-α=0.0),sentence-t5-base,400,189,130,70,11,0.592,0.945,0.728,0.76
Semantic-KG GloBI (SNEA-α=0.1),SNEA-BERT α=0.1 (Our Method),400,189,39,161,11,0.829,0.945,0.883,0.934
Semantic-KG GloBI (SNEA-α=0.1),ROUGE-1,400,192,98,102,8,0.662,0.96,0.784,0.833
