id,paragraph_1,paragraph_2,kg_1,kg_2,snea_bert_similarity
166,"give a thrashing to , beat",give a thrashing to ; beat hard .,"[[""give_a_thrashing_to"", ""synonym_of"", ""beat""]]","[[""give_a_thrashing_to"", ""synonym_of"", ""beat_hard""]]",0.9437101958162293
167,the woman is dicing onions .,a woman is dancing in railway station .,"[[""woman"", ""is_dicing"", ""onions""]]","[[""woman"", ""is_dancing_in"", ""railway_station""]]",0.1531185473789518
168,a woman is putting her baby in a waste bin .,the woman is poking holes in the potato .,"[[""woman"", ""putting"", ""baby""], [""baby"", ""put_in"", ""waste_bin""], [""woman"", ""put_in"", ""waste_bin""]]","[[""woman"", ""poking"", ""potato""], [""woman"", ""creating"", ""holes""], [""holes"", ""in"", ""potato""]]",0.24104527243915755
169,"an intense surprise , often unpleasant",an unpleasant or disappointing surprise .,"[[""surprise"", ""can_be"", ""unpleasant""], [""surprise"", ""can_be"", ""intense""]]","[[""surprise"", ""can_be"", ""unpleasant""], [""surprise"", ""can_be"", ""disappointing""]]",0.7205436587441049
170,two men are fighting .,two men are fighting using a form of martial arts .,"[[""Man1"", ""fighting_with"", ""Man2""]]","[[""Man1"", ""fighting_with"", ""Man2""], [""Man1"", ""using"", ""martial_arts""], [""Man2"", ""using"", ""martial_arts""]]",0.9999999576568881
171,make an abstract thing tight or more restrictive,make tight or tighter .,"[[""abstract_thing"", ""made_tight"", ""tighter""], [""abstract_thing"", ""made"", ""more_restrictive""]]","[[""thing"", ""made_tight"", ""tight""], [""thing"", ""made"", ""tighter""]]",0.5025157541570674
172,a man is riding a bike .,a panda bear is eating .,"[[""man"", ""riding"", ""bike""]]","[[""panda_bear"", ""eating"", ""nothing""]]",0.003398755035587717
173,connect with ; reach a target or goal,"perceive with the senses quickly , suddenly , or momentarily .","[[""connect"", ""relation"", ""target_or_goal""], [""connect"", ""relation"", ""reach""], [""target_or_goal"", ""related_to"", ""connect""], [""reach"", ""related_to"", ""target_or_goal""], [""connect"", ""meaning"", ""reach_a_target_or_goal""]]","[[""perceive"", ""relation"", ""senses""], [""perceive"", ""manner"", ""quickly""], [""perceive"", ""manner"", ""suddenly""], [""perceive"", ""manner"", ""momentarily""], [""senses"", ""used_for"", ""perceive""]]",0.26558832999230464
174,"put an end to , make invalid a process that 's already begun",make invalid for use .,"[[""process"", ""already_begun"", ""True""], [""process"", ""made_invalid_by"", ""put_an_end_to""]]","[[""something"", ""made_invalid_for"", ""use""]]",0.22366683964805906
175,none of this absolves rich countries of their responsibility to help .,"that does not , however , the rich countries of their obligation to help .","[[""rich_countries"", ""responsible_for"", ""helping""], [""rich_countries"", ""have_responsibility_to"", ""help""]]","[[""rich_countries"", ""have_obligation_to"", ""help""], [""rich_countries"", ""obligated_to"", ""help""]]",0.8114816019586171
176,a boy is pushing a van .,a person is slicing a tomato .,"[[""boy"", ""pushing"", ""van""]]","[[""person"", ""slicing"", ""tomato""]]",0.04248739000082888
177,physical matter left behind after a removal process,matter that remains after something has been removed .,"[[""physical_matter"", ""left_behind_after"", ""removal_process""]]","[[""matter"", ""remains_after"", ""something""], [""something"", ""has_been"", ""removed""]]",0.3405576682698103
178,a woman is taking a picture .,a man is playing a guitar .,"[[""woman"", ""taking"", ""picture""]]","[[""man"", ""playing"", ""guitar""]]",0.017592407849289626
179,a man is slicing a tomato .,a man is riding a horse .,"[[""man"", ""slicing"", ""tomato""]]","[[""man"", ""riding"", ""horse""]]",0.10101033665951924
180,the man is putting chicken into the container .,a man is putting foods in a box .,"[[""man"", ""putting"", ""chicken""], [""chicken"", ""into"", ""container""], [""man"", ""interacting_with"", ""container""]]","[[""man"", ""putting"", ""foods""], [""foods"", ""into"", ""box""], [""man"", ""interacting_with"", ""box""]]",0.38754015543247305
181,a man is running on the road .,a panda dog is running on the road .,"[[""man"", ""running_on"", ""road""]]","[[""panda_dog"", ""running_on"", ""road""]]",0.4614350668730136
182,two men are fighting .,the man is exercising .,"[[""man1"", ""fighting_with"", ""man2""]]","[[""man"", ""is_exercising"", ""True""]]",0.29239462818461753
183,a rat like creature is smelling around .,an animal is walking on the ground .,"[[""rat_like_creature"", ""is_smelling"", ""around""]]","[[""animal"", ""is_walking_on"", ""ground""]]",0.25865788934395306
184,a woman is cutting up a chicken .,a woman is slicing meat .,"[[""woman"", ""cutting"", ""chicken""]]","[[""woman"", ""slicing"", ""meat""]]",0.4500371070840495
185,"terri schiavo , 39 , is expected to die sometime in the next two weeks in the tampa-area hospice where she has spent the past several years .","terri schiavo , 39 , underwent the procedure at the tampa bay area hospice where she has been living for several years , said her father , bob schindler .","[[""Terri_Schiavo"", ""age"", ""39""], [""Terri_Schiavo"", ""expected_to_die_in"", ""two_weeks""], [""Terri_Schiavo"", ""staying_at"", ""Tampa-area_hospice""], [""Terri_Schiavo"", ""spent_time_at"", ""Tampa-area_hospice""], [""Tampa-area_hospice"", ""located_in"", ""Tampa""]]","[[""Terri_Schiavo"", ""age"", ""39""], [""Terri_Schiavo"", ""underwent_procedure_at"", ""Tampa_Bay_Area_hospice""], [""Terri_Schiavo"", ""lives_at"", ""Tampa_Bay_Area_hospice""], [""Tampa_Bay_Area_hospice"", ""located_in"", ""Tampa""], [""Terri_Schiavo"", ""father"", ""Bob_Schindler""]]",0.8292070181414875
187,iraq 's future depends directly on the fate of iraqi oil production .,the future of iraq is related to the oil production of the country .,"[[""Iraq"", ""future_depends_on"", ""Iraqi_oil_production""]]","[[""Iraq"", ""future_related_to"", ""Iraq_oil_production""]]",0.952891867443387
188,"but from the american point of view , the international role of the dollar was a trap .","but from the american view , the international role of the dollar was a trap .","[[""American"", ""has_perspective"", ""international_role_of_dollar""], [""international_role_of_dollar"", ""perceived_as"", ""trap""]]","[[""American"", ""has_view"", ""international_role_of_dollar""], [""international_role_of_dollar"", ""perceived_as"", ""trap""]]",0.9974696503176432
189,the military officer barked at the recruits .,an officer is talking to recruits .,"[[""military_officer"", ""barked_at"", ""recruits""]]","[[""officer"", ""talking_to"", ""recruits""]]",0.6218971981906012
190,"since being drafted into service in 1971 , it has racked up a record 45 accidents , with 393 deaths .","it has a chequered safety record , including 47 accidents that resulted in 668 deaths .","[[""it"", ""drafted_in"", ""1971""], [""it"", ""number_of_accidents"", ""45""], [""it"", ""number_of_deaths"", ""393""]]","[[""it"", ""safety_record"", ""chequered""], [""it"", ""number_of_accidents"", ""47""], [""it"", ""number_of_deaths"", ""668""]]",0.6013705621709943
191,"an indication or manifestation of something , often physical",an indication of damage .,"[[""indication"", ""is"", ""manifestation""], [""indication"", ""of"", ""something""], [""something"", ""can_be"", ""physical""]]","[[""indication"", ""of"", ""damage""]]",0.29461950360519656
192,""" i ´ m very proud of the citizens of this state , "" gov. john baldacci said after votes from tuesday ´ s referendum were counted .",""" i 'm very proud of the citizens of this state , "" said gov. john baldacci , a casino foe .","[[""Gov._John_Baldacci"", ""said"", ""proud_statement""], [""Gov._John_Baldacci"", ""proud_of"", ""citizens_of_state""], [""citizens_of_state"", ""part_of"", ""state""], [""votes"", ""from"", ""Tuesday""], [""referendum"", ""held_on"", ""Tuesday""]]","[[""Gov._John_Baldacci"", ""said"", ""proud_statement""], [""Gov._John_Baldacci"", ""proud_of"", ""citizens_of_state""], [""Gov._John_Baldacci"", ""opponent_of"", ""casino""], [""citizens_of_state"", ""part_of"", ""state""]]",0.69627552079944
193,a woman is riding on a horse .,a man is turning over tables in anger .,"[[""woman"", ""riding_on"", ""horse""]]","[[""man"", ""turning_over"", ""tables""], [""man"", ""feeling"", ""anger""]]",0.02051335440978409
194,a boy is checking a calender .,a boy is looking at a calendar .,"[[""boy"", ""checking"", ""calendar""]]","[[""boy"", ""looking_at"", ""calendar""]]",0.9497982525568679
195,a man is climbing a rope .,a man climbs a rope .,"[[""man"", ""climbing"", ""rope""]]","[[""man"", ""climbs"", ""rope""]]",0.9926110399057557
196,take someone 's soul into heaven,take up someone 's soul into heaven .,"[[""someone"", ""has"", ""soul""], [""soul"", ""taken_into"", ""heaven""]]","[[""someone"", ""has"", ""soul""], [""soul"", ""taken_into"", ""heaven""]]",0.9999999994898607
197,microsoft fell 5 percent before the open to $ 27.45 from thursday 's close of $ 28.91 .,shares in microsoft slipped 4.7 percent in after-hours trade to $ 27.54 from a nasdaq close of $ 28.91 .,"[[""Microsoft"", ""fell"", ""5_percent""], [""Microsoft"", ""price_before_open"", ""$_27.45""], [""Microsoft"", ""previous_close"", ""$_28.91""], [""Thursday"", ""close"", ""$_28.91""], [""Microsoft"", ""price_change"", ""5_percent""]]","[[""Microsoft"", ""slipped"", ""4.7_percent""], [""Microsoft"", ""price_in_after_hours_trade"", ""$_27.54""], [""Microsoft"", ""previous_nasdaq_close"", ""$_28.91""], [""Nasdaq"", ""close"", ""$_28.91""], [""Microsoft"", ""price_change"", ""4.7_percent""]]",0.7167183557179224
198,a kid plays with a toy phone .,a little boy plays with a toy phone .,"[[""kid"", ""plays_with"", ""toy_phone""]]","[[""little_boy"", ""plays_with"", ""toy_phone""]]",0.9597575290836385
199,a feeling or state of extreme anger .,a state of extreme anger .,"[[""feeling_or_state"", ""described_as"", ""extreme_anger""]]","[[""state"", ""described_as"", ""extreme_anger""]]",0.6930233067863846
200,"egyptologists cast doubt tuesday on an expedition 's claim that it may have found the mummy of queen nefertiti , one of the best-known ancient egyptians .","egyptologists think they may have identified the long-sought mummy of queen nefertiti , one of the ancient world 's legendary beauties .","[[""egyptologists"", ""cast_doubt_on"", ""expedition""], [""expedition"", ""claim"", ""mummy_of_queen_nefertiti""], [""mummy_of_queen_nefertiti"", ""belonged_to"", ""queen_nefertiti""], [""queen_nefertiti"", ""one_of"", ""best-known_ancient_egyptians""]]","[[""egyptologists"", ""think"", ""identified_mummy""], [""identified_mummy"", ""of"", ""queen_nefertiti""], [""queen_nefertiti"", ""one_of"", ""ancient_world_legendary_beauties""]]",0.5181846681963
201,make or become brighter or lighter,make lighter or brighter .,"[[""TEXT_1"", ""means"", ""make_or_become_brighter""], [""TEXT_1"", ""means"", ""make_or_become_lighter""], [""make_or_become_brighter"", ""synonym"", ""make_or_become_lighter""]]","[[""TEXT_2"", ""means"", ""make_lighter""], [""TEXT_2"", ""means"", ""make_brighter""], [""make_lighter"", ""synonym"", ""make_brighter""]]",0.9203380164669117
202,"the agency will "" consider as timely any tax returns or payments due "" aug. 15 if they are submitted by aug. 22 .",the agency said it would consider as timely any tax returns or payments due from friday through aug. 22 if they are completed by aug. 22 .,"[[""agency"", ""considers_timely"", ""tax_returns""], [""agency"", ""considers_timely"", ""payments""], [""tax_returns"", ""due_on"", ""Aug._15""], [""payments"", ""due_on"", ""Aug._15""], [""tax_returns"", ""submission_deadline"", ""Aug._22""], [""payments"", ""submission_deadline"", ""Aug._22""]]","[[""agency"", ""considers_timely"", ""tax_returns""], [""agency"", ""considers_timely"", ""payments""], [""tax_returns"", ""due_between"", ""Friday""], [""tax_returns"", ""due_between"", ""Aug._22""], [""payments"", ""due_between"", ""Friday""], [""payments"", ""due_between"", ""Aug._22""], [""tax_returns"", ""completion_deadline"", ""Aug._22""], [""payments"", ""completion_deadline"", ""Aug._22""]]",0.741469883156655
203,""" i do not wish to be present during this witness , "" he told stanislaus county superior court judge al girolami .",""" yes , i do not wish to be present during this witness , "" peterson , 31 , calmly told the judge as he was returned to his cell .","[[""he"", ""told"", ""Stanislaus_County_Superior_Court_Judge_Al_Girolami""], [""he"", ""does_not_wish_to_be_present_during"", ""witness""]]","[[""Peterson"", ""told"", ""judge""], [""Peterson"", ""age"", ""31""], [""Peterson"", ""does_not_wish_to_be_present_during"", ""witness""], [""Peterson"", ""returned_to"", ""cell""]]",0.5019832387051817
204,lionel richie is dancing on the ceiling .,lionel ritchie dances while standing on the ceiling .,"[[""Lionel_Richie"", ""is_dancing_on"", ""the_ceiling""]]","[[""Lionel_Ritchie"", ""dances_while_standing_on"", ""the_ceiling""]]",0.9469990797941088
205,"protect from heat , cold , or other detrimental conditions",place or set apart .,"[[""heat"", ""detrimental_to"", ""entity""], [""cold"", ""detrimental_to"", ""entity""], [""other_detrimental_conditions"", ""detrimental_to"", ""entity""], [""protection"", ""protects_against"", ""heat""], [""protection"", ""protects_against"", ""cold""], [""protection"", ""protects_against"", ""other_detrimental_conditions""]]","[[""entity"", ""placed"", ""apart""], [""entity"", ""set"", ""apart""]]",0.1845172268310394
206,the act of copying the actions of someone else .,a representation of a person that is exaggerated for comic effect .,"[[""act"", ""involves"", ""copying""], [""copying"", ""of"", ""actions""], [""actions"", ""performed_by"", ""someone_else""]]","[[""representation"", ""of"", ""person""], [""person"", ""exaggerated_for"", ""comic_effect""], [""representation"", ""used_for"", ""comic_effect""]]",0.17523112381077963
207,a baby tiger is playing with a ball .,a baby is playing with a doll .,"[[""baby_tiger"", ""playing_with"", ""ball""]]","[[""baby"", ""playing_with"", ""doll""]]",0.27034699772300474
208,"the standards are scarcely comparable , let alone transferable .",the standards are hardly comparable and still less transferable .,"[[""standards"", ""comparable"", ""scarcely""], [""standards"", ""transferable"", ""not""]]","[[""standards"", ""comparable"", ""hardly""], [""standards"", ""transferable"", ""less""]]",0.6622146480781173
209,a woman is peeling a potato .,a man is slicing potato .,"[[""woman"", ""peeling"", ""potato""]]","[[""man"", ""slicing"", ""potato""]]",0.5695097201533507
210,it increases the power of the big countries at the expense of the small countries .,that causes to increase the power of the large countries to the detriment of small .,"[[""big_countries"", ""gain_power_at_expense_of"", ""small_countries""]]","[[""large_countries"", ""gain_power_at_expense_of"", ""small_countries""]]",0.9952026920691677
211,a man is playing the piano .,the man is playing the violin .,"[[""man"", ""playing"", ""piano""]]","[[""man"", ""playing"", ""violin""]]",0.2876247055566734
212,a man is playing a guitar .,a man is playing a flute .,"[[""man"", ""playing"", ""guitar""]]","[[""man"", ""playing"", ""flute""]]",0.22118837119969767
213,that is the spirit in which the european constitution must be written .,that is the spirit in which must be drawn up the constitution .,"[[""European_Constitution"", ""must_be_written_in"", ""spirit""]]","[[""Constitution"", ""must_be_drawn_up_in"", ""spirit""]]",0.8938740323328371
214,a man is cutting a fish .,a man guts a fish .,"[[""man"", ""cutting"", ""fish""]]","[[""man"", ""guts"", ""fish""]]",0.8899256032929879
215,a woman is slicing meat with a knife .,a man is spreading out dough .,"[[""woman"", ""using"", ""knife""], [""woman"", ""slicing"", ""meat""], [""knife"", ""used_for"", ""slicing_meat""]]","[[""man"", ""spreading"", ""dough""], [""man"", ""using"", ""dough""]]",0.12417902857605248
216,"the dow jones industrials climbed more than 140 points to above the 9,000 mark , the first time since december .","the dow jones industrials briefly surpassed the 9,000 mark for the first time since december . ""","[[""Dow_Jones_Industrials"", ""climbed"", ""140_points""], [""Dow_Jones_Industrials"", ""above"", ""9,000_mark""], [""9,000_mark"", ""first_time_since"", ""December""]]","[[""Dow_Jones_Industrials"", ""surpassed"", ""9,000_mark""], [""9,000_mark"", ""first_time_since"", ""December""]]",0.7627194331371241
217,"a long , thin implement , usually made of wood",an implement consisting of a length of wood .,"[[""long_thin_implement"", ""made_of"", ""wood""]]","[[""implement"", ""consisting_of"", ""length_of_wood""], [""length_of_wood"", ""made_of"", ""wood""]]",0.6422110631186331
218,the company claims it 's the largest single apple var xserve sale to date .,the company claimed it is the largest sale of xserves by an apple retailer .,"[[""company"", ""claims"", ""largest_single_apple_var_xserve_sale""], [""largest_single_apple_var_xserve_sale"", ""occurred"", ""to_date""]]","[[""company"", ""claimed"", ""largest_sale_of_xserves""], [""largest_sale_of_xserves"", ""by"", ""apple_retailer""]]",0.48060643979838746
219,the day before today,the day immediately before today .,"[[""yesterday"", ""before"", ""today""]]","[[""yesterday"", ""before"", ""today""]]",0.9999999995870653
220,"devote or adapt exclusively to an skill , study , or work",devote oneself to a special area of work .,"[[""one"", ""devote_to"", ""skill""], [""one"", ""devote_to"", ""study""], [""one"", ""devote_to"", ""work""], [""one"", ""adapt_to"", ""skill""], [""one"", ""adapt_to"", ""study""], [""one"", ""adapt_to"", ""work""]]","[[""one"", ""devote_to"", ""special_area_of_work""]]",0.36604349658837154
221,the lady stirred up raw eggs in the bowl .,a woman is pouring eyes into a bowl .,"[[""lady"", ""stirred"", ""raw_eggs""], [""raw_eggs"", ""located_in"", ""bowl""], [""lady"", ""interacts_with"", ""bowl""]]","[[""woman"", ""pouring"", ""eyes""], [""eyes"", ""located_in"", ""bowl""], [""woman"", ""interacts_with"", ""bowl""]]",0.40828820767258645
222,"the finger next to the thumb , forefinger",the finger next to the thumb .,"[[""finger_next_to_thumb"", ""also_known_as"", ""forefinger""]]",[],0.0
223,"graham , a presidential candidate , was criticized by several republicans as ' ' politicizing ' ' the report .","graham , who co-chaired the inquiry , is a presidential candidate .","[[""Graham"", ""criticized_by"", ""Republicans""], [""Graham"", ""occupation"", ""presidential_candidate""], [""Republicans"", ""accused"", ""Graham_of_politicizing_report""], [""Graham"", ""accused_of"", ""politicizing_report""]]","[[""Graham"", ""co_chaired"", ""inquiry""], [""Graham"", ""occupation"", ""presidential_candidate""]]",0.5545769008359127
224,"authorities in ohio , indiana and michigan have searched for the bodies .","so far , authorities also have searched areas in pennsylvania , ohio , indiana , and michigan .","[[""authorities"", ""searched_in"", ""Ohio""], [""authorities"", ""searched_in"", ""Indiana""], [""authorities"", ""searched_in"", ""Michigan""]]","[[""authorities"", ""searched_in"", ""Pennsylvania""], [""authorities"", ""searched_in"", ""Ohio""], [""authorities"", ""searched_in"", ""Indiana""], [""authorities"", ""searched_in"", ""Michigan""]]",0.9999999994645278
225,the parents want her kept alive ; her husband says she never wanted to be kept alive artificially .,michael schiavo has argued that his wife never wanted to be kept alive artificially .,"[[""parents"", ""want"", ""her_kept_alive""], [""her_husband"", ""says"", ""she_never_wanted_artificial_life_support""], [""she"", ""never_wanted"", ""artificial_life_support""]]","[[""Michael_Schiavo"", ""argued"", ""his_wife_never_wanted_artificial_life_support""], [""his_wife"", ""never_wanted"", ""artificial_life_support""], [""Michael_Schiavo"", ""is_husband_of"", ""his_wife""]]",0.6008357836208381
226,a man plays a guitar .,a man plays the piano .,"[[""man"", ""plays"", ""guitar""]]","[[""man"", ""plays"", ""piano""]]",0.24113076644015488
227,a project or undertaking,earnest and conscientious activity intended to do or accomplish something .,"[[""project"", ""is_a"", ""undertaking""]]","[[""activity"", ""is"", ""earnest""], [""activity"", ""is"", ""conscientious""], [""activity"", ""intended_to"", ""do_something""], [""activity"", ""intended_to"", ""accomplish_something""]]",0.24415679055862713
228,a woman is writing .,a woman is swimming .,"[[""woman"", ""is_doing"", ""writing""]]","[[""woman"", ""is_doing"", ""swimming""]]",0.24230213328423902
229,impress or affect deeply ( emotionally ) .,impress or affect deeply .,[],[],0.0
230,someone is mixing ingrediants .,someone is sewing things .,"[[""someone"", ""mixing"", ""ingrediants""]]","[[""someone"", ""sewing"", ""things""]]",0.2638716694622531
231,work material with a tool,work with a tool .,"[[""work"", ""material_with"", ""tool""]]","[[""work"", ""performed_with"", ""tool""]]",0.8611730904742804
232,van orden report ( a5-0241 / 2000 ),relation horse-trailer orden ( a5-0241 / 2000 ),"[[""van_orden_report"", ""identified_by"", ""a5-0241_2000""]]","[[""relation_horse-trailer_orden"", ""identified_by"", ""a5-0241_2000""]]",0.5564331344592527
233,someone is holding a hedgehog .,a onion is being sliced .,"[[""someone"", ""holding"", ""hedgehog""]]","[[""onion"", ""being_sliced"", ""True""]]",0.09042533175420324
234,"the blue-chip dow jones industrial average eased 44 points , or 0.47 percent , to 9,543 , after scoring five consecutive up sessions .","the dow jones industrial average .dji rose 18.25 points , or 0.19 percent , to 9,586.71 .","[[""Dow_Jones_Industrial_Average"", ""eased"", ""44_points""], [""Dow_Jones_Industrial_Average"", ""decreased_by_percent"", ""0.47_percent""], [""Dow_Jones_Industrial_Average"", ""ended_at"", ""9,543""], [""Dow_Jones_Industrial_Average"", ""had_consecutive_up_sessions"", ""5_sessions""]]","[[""Dow_Jones_Industrial_Average"", ""rose"", ""18.25_points""], [""Dow_Jones_Industrial_Average"", ""increased_by_percent"", ""0.19_percent""], [""Dow_Jones_Industrial_Average"", ""ended_at"", ""9,586.71""]]",0.7076386881798771
235,"he did , but the initiative did not get very far .",what it has done without initiative go very far .,"[[""he"", ""did_something"", ""initiative""], [""initiative"", ""did_not_get_far"", ""far""]]","[[""it"", ""done_something"", ""initiative""], [""initiative"", ""did_not_go"", ""far""]]",0.7827031986584205
236,"the priest , the rev. john f. johnston , 64 , of 35th avenue in jackson heights , was charged with aggravated harassment and criminal possession of a weapon .","the rev. john johnston , 64 , was charged with aggravated harassment in the phone call case and with criminal possession of a weapon , according to a police statement .","[[""Rev._John_F._Johnston"", ""age"", ""64""], [""Rev._John_F._Johnston"", ""resides_on"", ""35th_Avenue""], [""Rev._John_F._Johnston"", ""resides_in"", ""Jackson_Heights""], [""Rev._John_F._Johnston"", ""charged_with"", ""aggravated_harassment""], [""Rev._John_F._Johnston"", ""charged_with"", ""criminal_possession_of_a_weapon""]]","[[""Rev._John_Johnston"", ""age"", ""64""], [""Rev._John_Johnston"", ""charged_with"", ""aggravated_harassment""], [""Rev._John_Johnston"", ""charged_with"", ""criminal_possession_of_a_weapon""]]",0.7900894119292996
237,"but price declines have remained below 30 percent , year over year , for the last two quarters , said idc analyst john mcarthur .",mcarthur told internetnews.com price declines have moderated and remained below 30 percent from the previous year for the last two quarters .,"[[""IDC"", ""has_analyst"", ""John_McArthur""], [""John_McArthur"", ""said"", ""price_declines_have_remained_below_30_percent""], [""price_declines"", ""have_remained_below"", ""30_percent""], [""price_declines"", ""measured"", ""year_over_year""], [""price_declines"", ""occurred_for"", ""last_two_quarters""]]","[[""McArthur"", ""told"", ""InternetNews.com""], [""McArthur"", ""stated"", ""price_declines_have_moderated""], [""price_declines"", ""remained_below"", ""30_percent""], [""price_declines"", ""compared_to"", ""previous_year""], [""price_declines"", ""occurred_for"", ""last_two_quarters""]]",0.6585758697107842
238,let me remind you that our allies include fervent supporters of this tax .,"i would remind you that our allies , devotees of this tax .","[[""our_allies"", ""include"", ""fervent_supporters""], [""fervent_supporters"", ""support"", ""this_tax""]]","[[""our_allies"", ""are"", ""devotees""], [""devotees"", ""of"", ""this_tax""]]",0.5973007977208101
239,remove water from a substance .,remove water from .,"[[""substance"", ""has_water"", ""water""], [""water"", ""removed_from"", ""substance""]]",[],0.0
240,express audibly ; utter sounds ( not necessarily words ) ; indicate .,express audibly ; utter sounds ( not necessarily words ) .,"[[""express"", ""means"", ""audibly""], [""express"", ""means"", ""utter_sounds""], [""utter_sounds"", ""description"", ""not_necessarily_words""], [""express"", ""means"", ""indicate""]]","[[""express"", ""means"", ""audibly""], [""express"", ""means"", ""utter_sounds""], [""utter_sounds"", ""description"", ""not_necessarily_words""]]",0.8419069225306791
241,a ceremony marking admission into a religious community .,a sacrament admitting a baptized person to full participation in the church .,"[[""ceremony"", ""marks"", ""admission_into_religious_community""]]","[[""sacrament"", ""admits"", ""baptized_person""], [""baptized_person"", ""gains"", ""full_participation_in_church""], [""sacrament"", ""grants"", ""full_participation_in_church""]]",0.29236454873422535
242,"limit , keep under control , deter , forbid",to compel or deter by or as if by threats .,"[[""limit"", ""synonym"", ""keep_under_control""], [""limit"", ""synonym"", ""deter""], [""limit"", ""synonym"", ""forbid""]]","[[""compel"", ""means"", ""threats""], [""deter"", ""means"", ""threats""]]",0.29660494848362384
243,( the discovery or exhibition of ) factual evidence that establishes the truth of something .,a formal series of statements showing that if one thing is true something else necessarily follows from it .,"[[""factual_evidence"", ""establishes"", ""truth_of_something""]]","[[""formal_series_of_statements"", ""shows"", ""necessarily_follows_from_it""], [""one_thing"", ""implies"", ""something_else""]]",0.1867785554668074
244,five kittens are eating out of five dishes .,kittens are eating food on trays .,"[[""kittens"", ""eating_out_of"", ""dishes""], [""kittens"", ""number"", ""five""], [""dishes"", ""number"", ""five""]]","[[""kittens"", ""eating"", ""food""], [""kittens"", ""eating_on"", ""trays""], [""food"", ""served_on"", ""trays""]]",0.3514435641363105
245,""" what they have done is a thinly veiled attempt to do an end run around the constitution , "" she said .","the church 's lawyer , shirley phelps-roper , was clear : "" what they have done is a thinly veiled attempt to do an end run around the constitution , "" she said .","[[""she"", ""said"", ""what they have done is a thinly veiled attempt to do an end run around the constitution""]]","[[""Shirley_Phelps-Roper"", ""occupation"", ""lawyer""], [""Shirley_Phelps-Roper"", ""representing"", ""the church""], [""Shirley_Phelps-Roper"", ""said"", ""what they have done is a thinly veiled attempt to do an end run around the constitution""], [""the church"", ""has"", ""lawyer""], [""the church"", ""lawyer"", ""Shirley_Phelps-Roper""]]",0.7044567134221895
246,"government bonds sold off sharply after greenspan told congress on tuesday that the u.s. economy "" could very well be embarking on a period of extended growth "" .","greenspan told congress on tuesday the u.s. economy "" could very well be embarking on a period of sustained growth "" .","[[""Greenspan"", ""told"", ""congress""], [""Greenspan"", ""spoke_on"", ""Tuesday""], [""government_bonds"", ""sold_off"", ""sharply""], [""Greenspan"", ""statement_caused"", ""government_bonds_sold_off""], [""U.S._economy"", ""could_be_embarking_on"", ""period_of_extended_growth""], [""Greenspan"", ""commented_on"", ""U.S._economy""]]","[[""Greenspan"", ""told"", ""congress""], [""Greenspan"", ""spoke_on"", ""Tuesday""], [""U.S._economy"", ""could_be_embarking_on"", ""period_of_sustained_growth""], [""Greenspan"", ""commented_on"", ""U.S._economy""]]",0.7907578307184404
247,that provision could open the door wide to arbitrariness .,this paves the way for the of the rules of procedure here .,"[[""provision"", ""could_open"", ""door_to_arbitrariness""], [""door_to_arbitrariness"", ""characterized_by"", ""arbitrariness""]]","[[""this"", ""paves_the_way_for"", ""the_rules_of_procedure""], [""the_rules_of_procedure"", ""applied_at"", ""here""]]",0.22244096765688293
248,a judgement or opinion about something,a judgment of the qualities of something or somebody .,"[[""judgement"", ""is_about"", ""something""]]","[[""judgment"", ""is_about"", ""qualities""], [""qualities"", ""of"", ""something""], [""qualities"", ""of"", ""somebody""]]",0.4113391260191803
249,this has left the conservative opposition without an effective response .,that leaves the opposition and without any effective response .,"[[""conservative_opposition"", ""without"", ""effective_response""]]","[[""opposition"", ""without"", ""effective_response""]]",0.9145261316161337
250,a man is opening a door .,a man is cutting an onion .,"[[""man"", ""is_opening"", ""door""]]","[[""man"", ""is_cutting"", ""onion""]]",0.20152828482085539
251,none of this absolves rich countries of their responsibility to help .,this does not however absolve the rich countries of their obligation to help .,"[[""rich_countries"", ""responsible_for"", ""help""], [""rich_countries"", ""have_responsibility_to"", ""help""]]","[[""rich_countries"", ""obligated_to"", ""help""], [""rich_countries"", ""have_obligation_to"", ""help""]]",0.9719322673519859
252,a plane rides on a road .,an airplane moves along a runway .,"[[""plane"", ""rides_on"", ""road""]]","[[""airplane"", ""moves_along"", ""runway""]]",0.40256575851484566
253,neither was there a qualified majority within this house to revert to article 272 .,there was no qualified majority in this parliament to go back to article 272 .,"[[""this_house"", ""lacks"", ""qualified_majority""], [""qualified_majority"", ""required_for"", ""revert_to_article_272""], [""this_house"", ""cannot_revert_to"", ""article_272""]]","[[""this_parliament"", ""lacks"", ""qualified_majority""], [""qualified_majority"", ""required_for"", ""go_back_to_article_272""], [""this_parliament"", ""cannot_go_back_to"", ""article_272""]]",0.8277536685247648
254,the price of a good or service,an assertion that someone is guilty of a fault or offence .,"[[""good_or_service"", ""has"", ""price""]]","[[""someone"", ""accused_of"", ""fault_or_offence""], [""fault_or_offence"", ""type_of"", ""guilt""], [""someone"", ""asserted_to_be"", ""guilty""]]",0.12044755385552267
